Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-8506,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-8254,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-3954,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-3717,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
249,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
496,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
1502,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
1754,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
6056,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
6292,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
10247,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
10494,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
11490,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
11742,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
16073,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
16310,00000121,false,Rx,0,8,92,07,33,04,00,00,00,00,
20244,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
20501,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
21487,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
21739,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
26091,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
26328,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
30242,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
30489,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
31496,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
31748,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
36100,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
36347,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
40241,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
40488,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
41494,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
41746,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
46118,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
46355,00000121,false,Rx,0,8,91,07,33,04,00,00,00,00,
50249,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
50495,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
51491,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
51743,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
56136,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
56373,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
60359,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
60607,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
61489,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
61741,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
66144,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
66380,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
70244,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
70490,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
71497,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
71749,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
76152,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
76399,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
80241,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
80488,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
81483,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
81736,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
86171,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
86407,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
90249,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
90497,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
91492,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
91744,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
96179,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
96425,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
100247,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
100495,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
101500,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
101742,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
106197,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
106433,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
110244,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
110491,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
111486,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
111739,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
116214,00000120,false,Rx,0,8,0B,02,0E,00,DE,0E,22,39,
116451,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
120241,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
120488,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
121484,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
121736,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
126222,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
126469,00000121,false,Rx,0,8,8D,07,33,04,00,00,00,00,
130238,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
